
---------- Begin Simulation Statistics ----------
final_tick                               100399277748                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                 447430                       # Simulator instruction rate (inst/s)
host_mem_usage                                4566152                       # Number of bytes of host memory used
host_op_rate                                   634197                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                   983.30                       # Real time elapsed on the host
host_tick_rate                              102104550                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                   439957728                       # Number of instructions simulated
sim_ops                                     623605287                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.100399                       # Number of seconds simulated
sim_ticks                                100399277748                       # Number of ticks simulated
system.cpu.cc_regfile_reads                  97834147                       # number of cc regfile reads
system.cpu.cc_regfile_writes                271265455                       # number of cc regfile writes
system.cpu.committedInsts                   439957728                       # Number of Instructions Simulated
system.cpu.committedOps                     623605287                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               0.776198                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         0.776198                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                      9570                       # number of floating regfile reads
system.cpu.fp_regfile_writes                     7298                       # number of floating regfile writes
system.cpu.idleCycles                         2666187                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts                59972                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                 23255114                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     1.844328                       # Inst execution rate
system.cpu.iew.exec_refs                    130581381                       # number of memory reference insts executed
system.cpu.iew.exec_stores                   41127735                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                27205999                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts              84571252                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts             368598                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts             29078                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts             41162474                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts           625225331                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts              89453646                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts             83181                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts             629827351                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                 186898                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents              16778074                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                  70233                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles              17205627                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents           3652                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect        17858                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect          42114                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                 762553067                       # num instructions consuming a value
system.cpu.iew.wb_count                     624814012                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.528499                       # average fanout of values written-back
system.cpu.iew.wb_producers                 403008661                       # num instructions producing a value
system.cpu.iew.wb_rate                       1.829648                       # insts written-back per cycle
system.cpu.iew.wb_sent                      624855342                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                988013547                       # number of integer regfile reads
system.cpu.int_regfile_writes               462915558                       # number of integer regfile writes
system.cpu.ipc                               1.288332                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         1.288332                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass            480635      0.08%      0.08% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu             389304999     61.80%     61.88% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult             21217859      3.37%     65.25% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                 17226      0.00%     65.25% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd                6194      0.00%     65.25% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     65.25% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                  16      0.00%     65.25% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult               1544      0.00%     65.25% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     65.25% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                7436      0.00%     65.25% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     65.25% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     65.25% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd               281614      0.04%     65.30% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     65.30% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu             24357112      3.87%     69.16% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                   11      0.00%     69.16% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                 9056      0.00%     69.17% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc             8415122      1.34%     70.50% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                  82      0.00%     70.50% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     70.50% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift               2384      0.00%     70.50% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     70.50% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShuffle           607672      0.10%     70.60% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShuffleAcc             0      0.00%     70.60% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     70.60% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     70.60% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd        54071963      8.58%     79.18% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     79.18% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp           75872      0.01%     79.19% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt           76024      0.01%     79.21% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv            8595      0.00%     79.21% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     79.21% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult         360625      0.06%     79.27% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     79.27% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     79.27% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     79.27% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     79.27% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     79.27% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     79.27% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     79.27% # Type of FU issued
system.cpu.iq.FU_type_0::SimdString               108      0.00%     79.27% # Type of FU issued
